t_option_end,k_strk,l_bar,tau,y,m,t_first,t_init,t_now,stocks_names,n_bonds,t_end_ge,coupon_ge,t_end_jpm,coupon_jpm,c_bar,t_last_credit,d_credit,ratings_t_now,ratings
2013-08-26,1407.0,9.0,0.082191781,0.01,-0.3013095772858194,2009-11-02,2012-08-30,2012-08-31,GE,2.0,2013-09-16,0.01875,2014-01-15,0.05375,8.0,2004-12-31,64.0,6.0,AAA
,,,0.164383562,,-0.2116673652891622,,,,JPM,,,,,,,,,4.0,AA
,,,0.249315068,,-0.1220251532925049,,,,A,,,,,,,,,,A
,,,0.334246575,,-0.0323829412958477,,,,AA,,,,,,,,,,BBB
,,,0.416438356,,0.0572592707008094,,,,AAPL,,,,,,,,,,BB
,,,0.498630137,,0.1469014826974666,,,,,,,,,,,,,,B
,,,0.747945205,,0.2365436946941238,,,,,,,,,,,,,,CCC
,,,1.0,,0.326185906690781,,,,,,,,,,,,,,D
,,,1.498630137,,0.4158281186874383,,,,,,,,,,,,,,
,,,2.0,,,,,,,,,,,,,,,,
